t,output,input
437,0.8976,1.1984
438,0.8318,1.1984
439,0.6780,-0.6679
440,0.8037,-0.6679
441,-1.1374,-0.6679
442,-0.0908,-0.6679
443,-0.5986,-0.6679
444,-0.4723,-0.6679
445,-0.4037,-0.6679
446,-0.3598,0.7239
447,-0.4458,0.7239
448,1.0608,0.7239
449,0.1574,0.7239
450,0.5398,0.7239
451,0.4412,0.7239
452,0.5120,0.7239
453,0.5167,-0.8908
454,0.4780,-0.8908
455,-1.0273,-0.8908
456,-0.1254,-0.8908
457,-0.6659,-0.8908
458,-0.5191,-0.8908
459,-0.4714,-0.8908
460,-0.6583,-1.5921
461,-0.4405,-1.5921
462,-1.2209,-1.5921
463,-0.7416,-1.5921
464,-1.2298,-1.5921
465,-1.0145,-1.5921
466,-0.9920,-1.5921
467,-0.8653,-1.5921
468,-1.2268,-1.5921
469,-1.0528,0.9708
470,-0.9179,0.9708
471,1.6139,0.9708
472,0.1349,0.9708
473,0.8126,0.9708
474,0.3109,0.9708
475,0.4687,0.4650
476,0.5821,0.4650
477,0.1976,0.4650
478,0.3758,0.4650
479,0.4839,0.4650
480,0.3448,0.4650
481,0.3553,0.4650
482,0.3279,0.4650
483,0.2071,0.9976
484,0.2833,0.9976
485,0.8178,0.9976
486,0.3804,0.9976
487,0.7323,0.9976
488,0.6194,0.9976
489,0.7324,0.9976
490,0.4546,0.9976
491,0.5314,-0.7978
492,0.8228,-0.7978
493,-1.1389,-0.7978
494,-0.3206,-0.7978
495,-0.7491,-0.7978
496,-0.2719,-0.7978
497,-0.5418,-0.7978
498,-0.5861,-0.7978
499,-0.5033,-0.7978
500,-0.5390,-0.0406
