t,output,input
156,1.0504,0.5017
157,0.8704,0.5017
158,1.0267,0.3628
159,0.8819,0.3628
160,0.5966,0.3628
161,0.6100,0.3628
162,0.7446,0.3628
163,0.8478,0.3628
164,0.7392,0.3628
165,0.6518,0.5224
166,1.2852,0.5224
167,1.3780,0.5224
168,1.0743,0.5224
169,1.0011,0.5224
170,1.1743,0.5224
171,1.2221,0.5224
172,1.0527,0.5224
173,0.9751,0.5224
174,1.1676,0.5224
175,1.3315,0.7462
176,1.4818,0.7462
177,1.6176,0.7462
178,1.5469,0.7462
179,1.7976,0.7462
180,1.5923,0.7462
181,1.4055,0.7462
182,1.5885,0.7462
183,1.7983,0.7462
184,1.6861,0.9906
185,2.0171,0.9906
186,2.3573,0.9906
187,2.1681,0.9906
188,1.9549,0.9906
189,2.2156,0.9906
190,2.0207,0.9906
191,2.2361,0.9906
192,2.2029,0.9906
193,2.1386,0.5950
194,1.2171,0.5950
195,0.9988,0.5950
196,1.3653,0.5950
197,1.5820,0.5950
198,1.1746,0.5950
199,1.0963,0.5950
200,1.4443,0.5950
201,1.1923,0.5950
202,1.0483,0.5950
203,1.4043,0.5732
204,1.2736,0.5732
205,1.1584,0.5732
206,1.2910,0.5732
207,1.1487,0.5732
208,0.9445,0.5732
209,1.4108,0.5732
210,1.3217,0.5732
211,1.2331,0.5732
212,1.3152,0.5732
213,1.2279,0.9233
214,1.8791,0.9233
215,2.0718,0.9233
216,1.9479,0.9233
217,1.8521,0.9233
218,1.8178,0.9233
219,2.0699,0.9233
220,2.2015,0.9233
221,2.0434,0.9233
222,1.7101,0.9233
223,2.1540,0.2694
224,0.6386,0.2694
225,0.1621,0.2694
226,0.5224,0.2694
227,0.8024,0.2694
228,0.5784,0.2694
229,0.5074,0.2694
230,0.5716,0.2694
231,0.5579,0.2694
232,0.5209,0.2694
233,0.5617,0.8634
234,1.8342,0.8634
235,2.0913,0.8634
236,1.7777,0.8634
237,1.8236,0.8634
238,1.8747,0.8634
239,2.0329,0.8634
240,1.7652,0.8634
241,1.7431,0.8634
242,2.0592,0.8634
243,1.9753,0.8634
244,1.8495,0.1514
245,0.2260,0.1514
246,-0.1549,0.1514
247,0.4507,0.1514
248,0.5450,0.1514
249,0.2261,0.1514
250,0.2950,0.1514
251,0.4078,0.1514
252,0.3931,0.1514
253,0.3136,0.5861
254,1.1702,0.5861
255,1.5824,0.5861
256,1.3456,0.5861
257,1.1345,0.5861
258,1.2703,0.5861
259,1.3887,0.5861
260,1.1366,0.5861
261,1.2079,0.5861
262,1.2975,0.5861
263,1.2249,0.0631
264,0.1846,0.0631
265,-0.1718,0.0631
266,0.1993,0.0631
267,0.1764,0.0631
268,-0.0266,0.0631
269,0.1632,0.0631
270,0.1970,0.0631
271,0.0961,0.0631
272,0.2741,0.0631
273,0.1309,0.8899
274,1.7422,0.8899
275,2.6402,0.8899
276,1.8256,0.8899
277,1.6500,0.8899
278,2.0569,0.8899
279,2.0393,0.8899
280,1.9301,0.8899
281,1.8926,0.9399
282,2.2465,0.9399
283,1.9597,0.9399
284,2.0407,0.9399
285,1.9981,0.9399
286,1.9123,0.9399
287,1.9569,0.9399
288,2.2748,0.9399
289,1.9679,0.9399
290,2.0282,0.9399
291,1.9460,0.9399
292,2.0726,0.0935
293,0.3668,0.0935
294,-0.3380,0.0935
295,0.2622,0.0935
296,0.2663,0.0935
297,0.0657,0.0935
298,0.2371,0.0935
299,0.2416,0.0935
300,0.2171,0.0942
301,0.1995,0.0942
302,0.0448,0.0942
303,0.2068,0.0942
304,0.2349,0.0942
305,-0.0025,0.0942
306,0.3036,0.0942
307,0.1101,0.0942
308,0.0144,0.1070
309,0.3194,0.1070
310,0.2540,0.1070
311,-0.1118,0.1070
312,0.3278,0.1070
313,-0.0068,0.1070
314,0.2531,0.1070
315,0.0131,0.1070
316,0.2777,0.1070
317,0.1532,0.1070
318,0.1346,0.1070
319,0.2129,0.3366
320,0.1402,0.3366
321,1.0289,0.3366
322,0.1865,0.3366
323,0.8402,0.3366
324,0.4035,0.3366
325,0.4785,0.3366
326,0.7243,0.3366
327,0.5033,0.3366
328,0.5337,0.8536
329,0.8165,0.8536
330,2.0823,0.8536
331,0.6711,0.8536
332,1.7443,0.8536
333,1.2641,0.8536
334,1.2860,0.8536
335,1.3789,0.4807
336,1.0510,0.4807
337,0.1964,0.4807
338,1.0800,0.4807
339,0.5730,0.4807
340,0.8750,0.4807
341,0.9321,0.4807
342,0.7175,0.4807
343,0.9007,0.4807
344,0.7774,0.2551
345,0.6799,0.2551
346,0.1688,0.2551
347,0.4953,0.2551
348,0.3721,0.2551
349,0.5009,0.2551
350,0.2903,0.2551
351,0.5514,0.2551
352,0.3916,0.2551
353,0.3614,0.3604
354,0.5819,0.3604
355,0.5313,0.3604
356,0.5390,0.3604
357,0.4408,0.3604
358,0.7258,0.3604
359,0.4388,0.1530
360,0.6053,0.1530
361,-0.1779,0.1530
362,0.4866,0.1530
363,0.2281,0.1530
364,0.3188,0.1530
365,0.2663,0.1530
366,0.1390,0.1530
367,0.3760,0.1530
368,0.1180,0.8632
369,0.6258,0.8632
370,2.3678,0.8632
371,0.6772,0.8632
372,1.8322,0.8632
373,1.1320,0.8632
374,1.4157,0.3298
375,1.2212,0.3298
376,-0.2783,0.3298
377,1.0190,0.3298
378,0.3047,0.3298
379,0.6892,0.3298
380,0.4961,0.3298
381,0.4842,0.7110
382,0.7256,0.7110
383,1.8214,0.7110
384,0.6067,0.7110
385,1.1442,0.7110
386,1.3404,0.7110
387,0.8649,0.7110
388,1.1867,0.0054
389,0.7198,0.0054
390,-1.1106,0.0054
391,0.8864,0.0054
392,-0.4758,0.0054
393,-0.0731,0.0054
394,0.4218,0.2914
395,-0.2302,0.2914
396,1.0543,0.2914
397,0.1924,0.2914
398,0.5983,0.2914
399,0.4778,0.2914
400,0.2629,0.0891
401,0.6184,0.0891
402,-0.4091,0.0891
403,0.5594,0.0891
404,0.0485,0.0891
405,0.2591,0.0891
406,0.1485,0.0891
407,0.2244,0.0891
408,0.0780,0.0891
409,0.3191,0.0891
410,-0.1130,0.0891
411,0.2130,0.1444
412,0.2396,0.1444
413,0.0347,0.1444
414,0.4473,0.1444
415,0.2419,0.1444
416,0.1035,0.1444
417,0.3612,0.1444
418,0.1212,0.1444
419,0.2421,0.1444
420,0.3123,0.1444
421,0.2120,0.1444
422,0.1730,0.2128
423,0.3007,0.2128
424,0.3285,0.2128
425,0.3191,0.2128
426,0.3582,0.2128
427,0.3934,0.2128
428,0.0919,0.2128
429,0.7436,0.2128
430,0.2142,0.2128
431,0.4200,0.2128
432,0.2597,0.5043
433,0.6038,0.5043
434,1.2382,0.5043
435,0.6013,0.5043
436,0.8173,0.5043
437,0.8320,0.5043
438,0.9718,0.5043
439,0.6908,0.0454
440,0.4559,0.0454
441,-0.3913,0.0454
442,0.4314,0.0454
443,-0.0341,0.0454
444,0.0603,0.0454
445,0.1928,0.0697
446,-0.0099,0.0697
447,0.3059,0.0697
448,0.0033,0.0697
449,0.1740,0.0697
450,0.0967,0.0697
451,0.0269,0.0697
452,0.4225,0.0697
453,-0.1116,0.0697
454,0.2492,0.0697
455,0.0195,0.0697
456,0.1504,0.3407
457,0.2985,0.3407
458,0.9250,0.3407
459,0.2026,0.3407
460,0.7349,0.3407
461,0.3118,0.3407
462,0.5846,0.3407
463,0.5412,0.3407
464,0.5611,0.3407
465,0.6131,0.6639
466,0.8412,0.6639
467,1.3163,0.6639
468,0.6364,0.6639
469,1.5071,0.6639
470,0.8618,0.6639
471,1.2054,0.6639
472,1.0672,0.6639
473,1.1140,0.6639
474,0.9591,0.6639
475,1.0825,0.6639
476,1.0484,0.3936
477,0.8277,0.3936
478,0.3025,0.3936
479,0.9687,0.3936
480,0.4080,0.3936
481,0.7847,0.3936
482,0.5423,0.3936
483,0.5460,0.7487
484,0.9984,0.7487
485,1.5103,0.7487
486,0.8544,0.7487
487,1.2934,0.7487
488,1.2523,0.7487
489,0.9996,0.9798
490,1.5756,0.9798
491,1.7100,0.9798
492,1.4079,0.9798
493,1.6539,0.9798
494,1.6039,0.9798
495,1.3954,0.6653
496,1.5334,0.5404
497,0.6019,0.5404
498,0.9282,0.5404
499,0.8815,0.5404
500,0.8345,0.5404
