t,output,input
108,0.7711,0.9442
109,0.6514,0.9442
110,0.7491,0.9442
111,0.5675,0.9442
112,0.5793,0.7045
113,0.4749,0.7045
114,0.2375,0.7045
115,0.2949,0.7045
116,0.2464,0.7045
117,0.3536,0.7045
118,0.0787,0.5210
119,0.3175,0.5210
120,0.2127,0.5210
121,0.2765,0.5210
122,0.3221,0.5210
123,0.4195,0.5210
124,0.4041,0.5210
125,0.4402,0.5210
126,0.4986,0.5210
127,0.3915,0.5210
128,0.4881,0.9215
129,0.4722,0.9215
130,0.6081,0.9215
131,0.5617,0.9215
132,0.6060,0.9215
133,0.8149,0.9215
134,0.7496,0.9215
135,0.7271,0.9215
136,0.4667,0.9215
137,0.4940,0.0559
138,0.2743,0.0559
139,0.1462,0.0559
140,0.0962,0.0559
141,-0.1355,0.0559
142,-0.2716,0.0559
143,-0.4237,0.0559
144,-0.4630,0.0559
145,-0.4260,0.0559
146,-0.6782,0.0559
147,-0.6546,0.0559
148,-0.7429,0.9844
149,-0.8078,0.9844
150,-0.8681,0.9844
151,-0.8732,0.9844
152,-1.0181,0.9844
153,-0.8751,0.9844
154,-0.8937,0.9844
155,-0.6901,0.0774
156,-0.8256,0.0774
157,-0.7035,0.0774
158,-0.7130,0.0774
159,-0.6141,0.0774
160,-0.6682,0.0774
161,-0.5913,0.0774
162,-0.5217,0.3294
163,-0.5410,0.3294
164,-0.5699,0.3294
165,-0.5007,0.3294
166,-0.4516,0.3294
167,-0.5686,0.3294
168,-0.6446,0.3294
169,-0.7128,0.3294
170,-0.7076,0.4136
171,-0.6153,0.4136
172,-0.5740,0.4136
173,-0.5003,0.4136
174,-0.4260,0.4136
175,-0.3492,0.4136
176,-0.1736,0.4136
177,-0.1325,0.4136
178,-0.0140,0.4136
179,0.0427,0.4775
180,0.1461,0.4775
181,0.2085,0.4775
182,0.1944,0.4775
183,0.2959,0.4775
184,0.3147,0.4775
185,0.4343,0.4775
186,0.4870,0.4775
187,0.5180,0.4775
188,0.4277,0.9227
189,0.6643,0.9227
190,0.6355,0.9227
191,0.6042,0.9227
192,0.7084,0.9227
193,0.5723,0.9227
194,0.5536,0.9227
195,0.6471,0.9227
196,0.6525,0.9227
197,0.5783,0.9227
198,0.5548,0.5364
199,0.4549,0.5364
200,0.3476,0.5364
201,0.2264,0.5364
202,0.0510,0.5364
203,-0.1092,0.5364
204,-0.0660,0.5364
205,-0.1610,0.8150
206,-0.1018,0.8150
207,-0.2552,0.8150
208,-0.2015,0.8150
209,-0.2509,0.8150
210,-0.3142,0.8150
211,-0.0757,0.8150
212,-0.1898,0.8150
213,-0.0081,0.8150
214,-0.0824,0.8150
215,-0.1331,0.7748
216,0.0397,0.7748
217,0.2631,0.7748
218,0.1236,0.7748
219,0.2769,0.7748
220,0.2524,0.7748
221,0.2713,0.7748
222,0.3527,0.7748
223,0.2128,0.7748
224,0.2181,0.7748
225,0.3221,0.2758
226,0.2413,0.2758
227,0.2367,0.2758
228,0.3003,0.2758
229,0.2732,0.2758
230,0.3563,0.2758
231,0.2409,0.2758
232,0.2725,0.2758
233,0.3067,0.2758
234,0.2427,0.2758
235,0.0937,0.2758
236,0.2832,0.3493
237,0.1630,0.3493
238,0.1387,0.3493
239,0.0205,0.3493
240,-0.0100,0.3493
241,0.0272,0.3493
242,0.0961,0.3493
243,0.1087,0.3802
244,0.0656,0.3802
245,0.1680,0.3802
246,0.1094,0.3802
247,0.2263,0.3802
248,0.2385,0.3802
249,0.2083,0.3802
250,0.4137,0.3802
251,0.3884,0.3802
252,0.4434,0.3802
253,0.5226,0.3802
254,0.6981,0.4143
255,0.5521,0.4143
256,0.5446,0.4143
257,0.6557,0.4143
258,0.6486,0.4143
259,0.6611,0.4143
260,0.8249,0.4143
261,0.6053,0.4143
262,0.5570,0.4143
263,0.6508,0.7244
264,0.3931,0.7244
265,0.3876,0.7244
266,0.4086,0.7244
267,0.3574,0.7244
268,0.3831,0.7244
269,0.2795,0.7244
270,0.3759,0.4694
271,0.4673,0.4694
272,0.4943,0.4694
273,0.5783,0.4694
274,0.5685,0.4694
275,0.5143,0.4694
276,0.4023,0.4694
277,0.2771,0.4694
278,0.2286,0.4694
279,0.0084,0.4694
280,0.0912,0.8403
281,-0.0434,0.8403
282,0.0193,0.8403
283,-0.1231,0.8403
284,-0.3338,0.8403
285,-0.3059,0.8403
286,-0.2153,0.8403
287,-0.2419,0.8403
288,-0.3264,0.3728
289,-0.2291,0.3728
290,-0.2543,0.3728
291,0.0777,0.3728
292,-0.0329,0.3728
293,0.1126,0.3728
294,0.0584,0.1933
295,-0.1461,0.1933
296,-0.0226,0.1933
297,-0.1793,0.1933
298,-0.2128,0.1933
299,-0.3485,0.1933
300,-0.2119,0.1933
301,-0.1431,0.1933
302,-0.3106,0.1933
303,-0.2751,0.7446
304,-0.1699,0.7446
305,-0.1064,0.7446
306,-0.0340,0.7446
307,0.0040,0.7446
308,-0.0169,0.7446
309,0.0089,0.7446
310,0.1412,0.7446
311,0.0209,0.6881
312,0.1459,0.6881
313,0.1650,0.6881
314,0.1036,0.6881
315,0.2645,0.6881
316,0.0281,0.6881
317,0.0398,0.6881
318,-0.1361,0.6881
319,-0.1690,0.6881
320,-0.3566,0.6881
321,-0.3555,0.5345
322,-0.4297,0.5345
323,-0.4555,0.5345
324,-0.6329,0.5345
325,-0.5700,0.5345
326,-0.8761,0.5345
327,-0.6057,0.5345
328,-0.8109,0.5345
329,-0.8361,0.9775
330,-0.6104,0.9775
331,-0.5944,0.9775
332,-0.5234,0.9775
333,-0.5103,0.9775
334,-0.4226,0.9775
335,-0.3163,0.9775
336,-0.1908,0.2838
337,-0.0710,0.2838
338,0.0294,0.2838
339,0.1359,0.2838
340,0.0828,0.2838
341,0.2194,0.2838
342,0.2295,0.2838
343,0.0824,0.2838
344,0.1405,0.4712
345,0.0699,0.4712
346,0.0976,0.4712
347,-0.0819,0.4712
348,0.0127,0.4712
349,-0.1212,0.4712
350,-0.2550,0.4712
351,-0.4727,0.4712
352,-0.5272,0.4712
353,-0.4037,0.4712
354,-0.5704,0.2900
355,-0.6127,0.2900
356,-0.6736,0.2900
357,-0.6773,0.2900
358,-0.5553,0.2900
359,-0.5376,0.2900
360,-0.5895,0.2900
361,-0.5151,0.2900
362,-0.4484,0.2900
363,-0.4904,0.2900
364,-0.5832,0.7016
365,-0.4464,0.7016
366,-0.2731,0.7016
367,-0.2111,0.7016
368,-0.1518,0.7016
369,0.0157,0.7016
370,-0.0322,0.7016
371,0.1937,0.7016
372,0.3355,0.7016
373,0.3900,0.7016
374,0.3966,0.2904
375,0.4646,0.2904
376,0.7347,0.2904
377,0.7069,0.2904
378,0.7308,0.2904
379,0.7009,0.2904
380,0.7210,0.2904
381,0.7156,0.2904
382,0.7659,0.2904
383,0.7785,0.2239
384,0.6079,0.2239
385,0.8161,0.2239
386,0.6723,0.2239
387,0.6836,0.2239
388,0.7521,0.2239
389,0.6478,0.2021
390,0.6359,0.2021
391,0.8013,0.2021
392,0.6899,0.2021
393,0.5975,0.2021
394,0.4817,0.2021
395,0.3587,0.2021
396,0.3325,0.2021
397,-0.0064,0.2021
398,0.0775,0.2021
399,-0.1402,0.2021
400,-0.0200,0.8322
401,-0.0184,0.8322
402,-0.1072,0.8322
403,0.0322,0.8322
404,-0.0286,0.8322
405,-0.1142,0.8322
406,-0.0623,0.7527
407,-0.1267,0.7527
408,-0.1259,0.7527
409,0.0170,0.7527
410,-0.0390,0.7527
411,0.0859,0.7527
412,0.0559,0.4401
413,-0.1261,0.4401
414,0.0857,0.4401
415,-0.1154,0.4401
416,0.0032,0.4401
417,0.0657,0.4401
418,-0.1047,0.4401
419,-0.0820,0.4401
420,-0.1233,0.4401
421,-0.2714,0.4401
422,-0.2296,0.2039
423,-0.3675,0.2039
424,-0.2995,0.2039
425,-0.4560,0.2039
426,-0.4920,0.2039
427,-0.5364,0.2039
428,-0.5853,0.2039
429,-0.6223,0.2039
430,-0.7031,0.5579
431,-0.5924,0.5579
432,-0.4761,0.5579
433,-0.3610,0.5579
434,-0.1257,0.5579
435,-0.1973,0.5579
436,-0.0007,0.5579
437,0.1635,0.5579
438,0.1915,0.5579
439,0.0964,0.5579
440,0.1593,0.7553
441,0.1897,0.7553
442,0.2193,0.7553
443,-0.0733,0.7553
444,-0.0125,0.7553
445,-0.1075,0.7553
446,-0.0386,0.7553
447,-0.2340,0.7553
448,-0.2476,0.7553
449,-0.1177,0.7553
450,-0.1464,0.7553
451,-0.1126,0.6167
452,-0.0519,0.6167
453,0.0857,0.6167
454,-0.0258,0.6167
455,0.2417,0.6167
456,0.1722,0.6167
457,0.0881,0.6167
458,0.3125,0.6167
459,0.2614,0.6167
460,0.2307,0.6167
461,0.2602,0.9869
462,0.2760,0.9869
463,0.3730,0.9869
464,0.3841,0.9869
465,0.3459,0.9869
466,0.3118,0.9869
467,0.3697,0.9869
468,0.3777,0.9869
469,0.2119,0.9869
470,0.1096,0.9869
471,0.1538,0.2306
472,0.0408,0.2306
473,0.0577,0.2306
474,-0.0135,0.2306
475,-0.1144,0.2306
476,-0.2504,0.2306
477,-0.2533,0.2474
478,-0.1505,0.2474
479,-0.3300,0.2474
480,-0.3168,0.2474
481,-0.2913,0.2474
482,-0.4257,0.2474
483,-0.4966,0.2474
484,-0.3413,0.1716
485,-0.3640,0.1716
486,-0.3711,0.1716
487,-0.1980,0.1716
488,-0.0077,0.1716
489,0.0073,0.1716
490,0.1350,0.1716
491,0.1915,0.1716
492,0.3589,0.3623
493,0.3275,0.0858
494,0.3651,0.0858
495,0.2900,0.0858
496,0.3406,0.0858
497,0.4077,0.0858
498,0.3393,0.0858
499,0.3512,0.0858
500,0.3759,0.0858
