t,output,input
101,-0.3865,-0.8898
102,-0.4134,-0.8898
103,-0.5377,-0.8898
104,-0.3992,-0.8898
105,-0.5668,-0.8898
106,-0.7177,0.1997
107,-0.5608,0.1997
108,-0.3197,0.1997
109,-0.3244,0.1997
110,-0.3530,0.1997
111,-0.2417,0.1997
112,-0.1698,0.1997
113,-0.0827,0.1997
114,-0.2246,0.1997
115,-0.0862,0.1997
116,-0.1692,0.1997
117,-0.1905,0.9301
118,0.0855,0.9301
119,0.1033,0.9301
120,0.2857,0.9301
121,0.2659,0.9301
122,0.2637,0.9301
123,0.4963,0.9301
124,0.4511,-0.9062
125,0.3496,-0.9062
126,0.2399,-0.9062
127,0.0964,-0.9062
128,-0.1278,-0.9062
129,-0.2231,-0.9062
130,-0.2021,0.9370
131,-0.0931,0.9370
132,0.0348,0.9370
133,0.0030,0.9370
134,0.1338,0.9370
135,0.1620,0.9370
136,0.2198,0.9370
137,0.3202,0.9370
138,0.3328,0.9370
139,0.4841,-0.2572
140,0.2667,-0.2572
141,0.1746,-0.2572
142,0.1750,-0.2572
143,0.0642,-0.2572
144,0.1395,-0.2572
145,0.0214,-0.7418
146,0.0731,-0.7418
147,0.0643,-0.7418
148,-0.0509,-0.7418
149,-0.0264,-0.7418
150,-0.0640,-0.7418
151,-0.1305,-0.7418
152,-0.2664,-0.3736
153,-0.2830,-0.3736
154,-0.4656,-0.3736
155,-0.4429,-0.3736
156,-0.3396,-0.3736
157,-0.2940,-0.3736
158,-0.3655,-0.3736
159,-0.5211,-0.3736
160,-0.3603,0.5863
161,-0.1319,0.5863
162,-0.2112,0.5863
163,-0.0214,0.5863
164,0.0852,0.5863
165,0.0610,0.5863
166,0.2100,0.5863
167,0.1365,0.5863
168,0.1332,0.5863
169,0.1645,0.5863
170,0.3520,0.5863
171,0.2792,0.1042
172,0.2067,0.1042
173,0.3509,0.1042
174,0.1733,0.1042
175,0.2047,0.1042
176,0.2224,0.1042
177,0.2375,0.1042
178,0.0813,0.1042
179,0.1132,0.1042
180,0.0919,-0.5255
181,0.1043,-0.5255
182,0.0131,-0.5255
183,0.0635,-0.5255
184,0.0188,-0.5255
185,-0.2366,-0.5255
186,-0.2499,-0.5255
187,-0.2449,-0.5527
188,-0.1567,-0.5527
189,-0.2147,-0.5527
190,-0.2687,-0.5527
191,-0.2431,-0.5527
192,-0.2988,-0.5527
193,-0.3952,-0.5527
194,-0.4448,0.7809
195,-0.2326,0.7809
196,0.0024,0.7809
197,0.1228,0.7809
198,0.1615,0.7809
199,0.2959,0.7809
200,0.1457,0.7589
201,0.2752,0.7589
202,0.2088,0.7589
203,0.0786,0.7589
204,0.4858,0.7589
205,0.3631,0.7589
206,0.4639,0.7589
207,0.4335,0.7589
208,0.3352,0.7589
209,0.4644,0.7589
210,0.4610,-0.8332
211,0.2192,-0.8332
212,0.1192,-0.8332
213,0.0952,-0.8332
214,-0.1472,-0.8332
215,-0.3337,-0.8332
216,-0.1220,-0.8332
217,-0.2055,-0.8332
218,-0.1663,-0.8332
219,-0.1146,-0.8332
220,-0.3403,-0.9477
221,-0.3653,-0.9477
222,-0.4038,-0.9477
223,-0.3989,-0.9477
224,-0.7378,-0.9477
225,-0.7413,-0.9477
226,-0.7180,-0.5906
227,-0.6371,-0.5906
228,-0.7790,-0.5906
229,-0.7779,-0.5906
230,-0.5776,-0.5906
231,-0.5839,-0.5906
232,-0.5227,-0.5906
233,-0.6630,-0.9322
234,-0.5886,-0.9322
235,-0.3695,-0.9322
236,-0.5236,-0.9322
237,-0.6295,-0.9322
238,-0.4429,-0.9322
239,-0.6558,-0.9322
240,-0.8867,-0.9322
241,-0.6722,-0.9322
242,-0.6425,0.2078
243,-0.5439,0.2078
244,-0.3801,0.2078
245,-0.4951,0.2078
246,-0.3423,0.2078
247,-0.4169,0.2078
248,-0.1980,0.0807
249,-0.2258,0.0807
250,-0.0804,0.0807
251,-0.0023,0.0807
252,-0.1470,0.0807
253,0.0356,0.0807
254,-0.1109,0.0807
255,-0.1755,0.0807
256,0.1035,0.0807
257,0.0048,0.2618
258,0.1073,0.2618
259,0.0872,0.2618
260,0.1386,0.2618
261,0.1609,0.2618
262,-0.0767,0.2618
263,0.0111,0.2618
264,0.0733,0.2618
265,-0.0714,0.2618
266,0.0481,0.2618
267,0.0349,0.2618
268,0.0445,-0.9041
269,0.1151,-0.9041
270,0.0786,-0.9041
271,0.0104,-0.9041
272,-0.1519,-0.9041
273,-0.2946,-0.9041
274,-0.1258,-0.9041
275,-0.2788,-0.9041
276,-0.5186,-0.9041
277,-0.4367,-0.2835
278,-0.3192,-0.2835
279,-0.4683,-0.2835
280,-0.4886,-0.2835
281,-0.3788,-0.2835
282,-0.3088,-0.2835
283,-0.3184,-0.2835
284,-0.4373,0.0560
285,-0.3946,0.0560
286,-0.3369,0.0560
287,-0.4518,0.0560
288,-0.1912,0.0560
289,-0.1519,0.0560
290,-0.1850,0.0560
291,-0.1092,0.0560
292,-0.0455,0.0560
293,-0.0528,0.0560
294,-0.2768,-0.0087
295,-0.0668,-0.0087
296,0.0202,-0.0087
297,-0.0791,-0.0087
298,0.1473,-0.0087
299,0.1303,-0.0087
300,-0.0875,-0.0087
301,0.0469,-0.0087
302,-0.0400,-0.0087
303,0.0210,-0.0087
304,-0.0519,-0.5865
305,-0.2833,-0.5865
306,-0.1331,-0.5865
307,-0.2609,-0.5865
308,-0.3045,-0.5865
309,-0.2536,-0.5865
310,-0.1971,-0.5865
311,-0.1785,-0.5865
312,-0.3991,-0.5865
313,-0.4604,-0.5865
314,-0.4103,0.3128
315,-0.1952,0.3128
316,-0.1992,0.3128
317,-0.3037,0.3128
318,-0.1024,0.3128
319,-0.1436,0.3128
320,-0.2408,0.3128
321,-0.0992,0.3128
322,0.0280,0.3128
323,-0.0241,0.3128
324,0.2848,0.3128
325,-0.0151,-0.4410
326,0.0631,-0.4410
327,0.0698,-0.4410
328,-0.2928,-0.4410
329,-0.1202,-0.4410
330,-0.2301,-0.4410
331,-0.3809,-0.4410
332,-0.2373,0.3607
333,-0.0416,0.3607
334,-0.0779,0.3607
335,-0.0344,0.3607
336,0.0585,0.3607
337,0.1374,0.3607
338,0.0056,0.1457
339,0.1017,0.1457
340,0.0717,0.1457
341,-0.1076,0.1457
342,0.0480,0.1457
343,0.0998,0.1457
344,-0.0370,0.1457
345,0.1403,0.1457
346,0.1984,0.1457
347,0.0642,0.1457
348,0.2097,0.1457
349,-0.0866,0.2758
350,-0.1104,0.2758
351,0.1288,0.2758
352,0.0744,0.2758
353,0.1763,0.2758
354,0.3493,0.2758
355,0.1570,0.2758
356,0.2838,0.2758
357,0.0765,0.2758
358,0.2545,0.2758
359,0.1805,0.2758
360,-0.0545,0.2747
361,0.0079,0.2747
362,0.1594,0.2747
363,0.1724,0.2747
364,0.1343,0.2747
365,0.3006,0.2747
366,0.1364,0.2747
367,0.1642,0.2747
368,0.2948,0.2747
369,0.2023,0.2747
370,0.2035,0.2747
371,0.2384,0.7587
372,0.3041,0.7587
373,0.2781,0.7587
374,0.3228,0.7587
375,0.3984,0.7587
376,0.2261,0.7587
377,0.4345,0.7587
378,0.3604,0.7587
379,0.4220,0.7587
380,0.5848,0.7587
381,0.6273,-0.3788
382,0.5819,-0.3788
383,0.4448,-0.3788
384,0.3727,-0.3788
385,0.2634,-0.3788
386,0.1639,-0.3788
387,0.1389,-0.3788
388,0.0241,-0.3788
389,-0.0660,-0.3788
390,0.1253,-0.3788
391,0.0458,-0.3788
392,-0.0911,-0.4515
393,-0.0607,-0.4515
394,-0.0217,-0.4515
395,-0.2726,-0.4515
396,-0.3840,-0.4515
397,-0.1705,-0.4515
398,-0.4523,-0.4515
399,-0.4213,-0.4515
400,-0.3803,-0.4515
401,-0.3267,-0.7095
402,-0.4119,-0.7095
403,-0.3452,-0.7095
404,-0.3842,-0.7095
405,-0.4479,-0.7095
406,-0.3178,-0.7095
407,-0.4702,0.1042
408,-0.4153,0.1042
409,-0.2583,0.1042
410,-0.3430,0.1042
411,-0.1599,0.1042
412,-0.1244,0.1042
413,-0.0995,0.1042
414,-0.0206,0.1118
415,0.0142,0.1118
416,0.0651,0.1118
417,0.0281,0.1118
418,0.0360,0.1118
419,0.2197,0.1118
420,0.0528,0.1118
421,0.0042,0.0875
422,0.1614,0.0875
423,0.1884,0.0875
424,0.0731,0.0875
425,0.0725,0.0875
426,0.2446,0.0875
427,-0.0458,0.0875
428,0.0107,0.0875
429,-0.0131,0.0875
430,-0.0778,-0.8379
431,-0.1431,-0.8379
432,-0.1831,-0.8379
433,-0.1392,-0.8379
434,-0.0605,-0.8379
435,-0.2779,-0.8379
436,-0.2930,-0.8379
437,-0.3034,-0.8379
438,-0.3291,-0.8379
439,-0.3401,-0.8379
440,-0.6460,-0.8379
441,-0.7521,0.3144
442,-0.4786,0.3144
443,-0.3962,0.3144
444,-0.1873,0.3144
445,-0.2374,0.3144
446,-0.1538,0.3144
447,-0.0504,-0.0272
448,-0.1073,-0.0272
449,0.0591,-0.0272
450,-0.0364,-0.0272
451,0.0694,-0.0272
452,0.0895,-0.0272
453,-0.1543,-0.0272
454,0.0762,-0.3720
455,-0.0741,-0.3720
456,-0.2371,-0.3720
457,-0.1876,-0.3720
458,-0.0891,-0.3720
459,-0.1322,-0.3720
460,-0.2418,-0.3720
461,-0.1204,-0.3720
462,-0.2263,-0.3720
463,-0.1691,0.9457
464,-0.0507,0.9457
465,-0.0049,0.9457
466,0.3379,0.9457
467,0.0191,0.9457
468,0.0827,0.9457
469,0.3653,0.9457
470,0.3974,0.9457
471,0.5059,0.7908
472,0.4594,0.7908
473,0.4436,0.7908
474,0.4551,0.7908
475,0.5967,0.7908
476,0.6526,0.7908
477,0.5966,-0.7568
478,0.3215,-0.7568
479,0.3598,-0.7568
480,0.1344,-0.7568
481,0.0328,-0.7568
482,0.0491,-0.7568
483,-0.2118,-0.7568
484,-0.2277,-0.7568
485,-0.2006,-0.7568
486,-0.3613,-0.7568
487,-0.4001,-0.7568
488,-0.4766,0.5046
489,-0.4360,0.5046
490,-0.3086,0.5046
491,-0.2232,0.5046
492,-0.0349,0.5046
493,0.0085,0.5046
494,0.0822,0.1927
495,0.1058,-0.0813
496,0.1856,-0.0813
497,-0.0951,-0.0813
498,-0.0008,-0.0813
499,-0.0765,-0.0813
500,-0.0540,-0.0813
